,Topic:
0,"0.059*""sepeda_motor"" + 0.028*""motor"" + 0.027*""sleman"" + 0.022*""sepeda"" + 0.019*""tangkap"" + 0.016*""korban"" + 0.016*""polisi"" + 0.015*""aksi"" + 0.013*""bakar"" + 0.012*""lokasi"""
1,"0.037*""bantul"" + 0.027*""bantul_abdul"" + 0.021*""halim"" + 0.019*""umkm"" + 0.018*""kabupaten_bantul"" + 0.018*""tani"" + 0.015*""produk"" + 0.014*""abdul"" + 0.014*""turun"" + 0.014*""halim_muslih"""
2,"0.066*""libur_natal"" + 0.030*""libur"" + 0.024*""natal"" + 0.019*""kerumun"" + 0.017*""instruksi"" + 0.015*""nataru"" + 0.009*""kelola"" + 0.009*""ppkm_level"" + 0.009*""raya"" + 0.008*""timbul"""
3,"0.050*""kota_yogyakarta"" + 0.046*""tanah_longsor"" + 0.029*""bencana"" + 0.027*""musim_hujan"" + 0.024*""longsor"" + 0.023*""wali_kota"" + 0.018*""heroe_poerwadi"" + 0.017*""kota"" + 0.016*""heroe"" + 0.016*""hujan"""
4,"0.028*""konfirmasi_covid"" + 0.027*""varian_omicron"" + 0.022*""varian"" + 0.022*""protokol_sehat"" + 0.018*""ajar_tatap"" + 0.018*""omicron"" + 0.017*""sekolah"" + 0.016*""positif_covid"" + 0.015*""ptm"" + 0.015*""kepala_dinas"""
5,"0.033*""wisata"" + 0.032*""objek_wisata"" + 0.031*""pandemi_covid"" + 0.026*""partai"" + 0.017*""pandemi"" + 0.017*""pariwisata"" + 0.016*""dinas_pariwisata"" + 0.014*""bantu"" + 0.012*""rapat"" + 0.012*""kerja"""
6,"0.044*""media_sosial"" + 0.022*""sosial"" + 0.016*""media"" + 0.014*""rekam"" + 0.013*""sd"" + 0.012*""luka"" + 0.012*""terima"" + 0.011*""sengaja"" + 0.010*""rokok"" + 0.010*""henti"""
7,"0.032*""kota_yogyakarta"" + 0.019*""nikah"" + 0.015*""mukim"" + 0.013*""yogya"" + 0.012*""obat"" + 0.011*""baik"" + 0.010*""bangun"" + 0.010*""sumber"" + 0.010*""kota"" + 0.009*""mineral"""
8,"0.043*""sleman"" + 0.033*""bupati_sleman"" + 0.033*""kabupaten_sleman"" + 0.018*""umk"" + 0.018*""kabupaten_bantul"" + 0.014*""naik"" + 0.014*""minyak"" + 0.014*""harga"" + 0.013*""goreng"" + 0.013*""kustini"""
9,"0.013*""desa"" + 0.012*""negara"" + 0.011*""indonesia"" + 0.011*""tangan_covid"" + 0.011*""gunungkidul"" + 0.010*""tni"" + 0.009*""jakarta"" + 0.008*""tni_polri"" + 0.008*""masuk"" + 0.008*""atur"""
10,"0.013*""keras"" + 0.013*""aksi"" + 0.012*""kapasitas"" + 0.011*""model"" + 0.010*""ringan"" + 0.010*""guru"" + 0.009*""persen"" + 0.009*""imbau"" + 0.009*""menang"" + 0.009*""kelas"""
11,"0.039*""polres_kulonprogo"" + 0.025*""video"" + 0.023*""perempuan"" + 0.022*""kasi_humas"" + 0.019*""iptu_i"" + 0.016*""polres"" + 0.016*""cari"" + 0.015*""rumah"" + 0.014*""jeffry"" + 0.013*""payudara"""
12,"0.027*""korban"" + 0.023*""klaten"" + 0.018*""rumah_sakit"" + 0.013*""ekonomi"" + 0.010*""luka"" + 0.010*""pandemi_covid"" + 0.009*""tumbuh"" + 0.009*""jiwa"" + 0.009*""ulang"" + 0.009*""bunuh"""
13,"0.046*""vaksinasi"" + 0.028*""upah_minimum"" + 0.024*""capai_persen"" + 0.023*""upah"" + 0.023*""gubernur_diy"" + 0.021*""persen"" + 0.018*""tembak"" + 0.014*""kabupaten_kulonprogo"" + 0.014*""vaksin"" + 0.014*""kkb"""
14,"0.059*""gunung_rapi"" + 0.032*""arah_barat"" + 0.024*""rapi"" + 0.022*""gunung"" + 0.021*""kategori"" + 0.019*""gugur"" + 0.017*""detik"" + 0.013*""gempa"" + 0.013*""warung"" + 0.012*""ugm"""
15,"0.018*""rokok"" + 0.015*""kandung"" + 0.013*""perempuan"" + 0.012*""oktober"" + 0.010*""keras"" + 0.010*""konsumsi"" + 0.010*""pandemi_covid"" + 0.008*""korupsi"" + 0.008*""sang"" + 0.008*""nama"""
16,"0.015*""malioboro"" + 0.015*""berat"" + 0.011*""dinas_pariwisata"" + 0.009*""bekas"" + 0.009*""dinkes"" + 0.008*""lokasi"" + 0.008*""hari"" + 0.007*""dagang"" + 0.007*""kopassus"" + 0.007*""lewat"""
17,"0.043*""umrah"" + 0.033*""saudi"" + 0.025*""arab"" + 0.020*""vaksin"" + 0.018*""berangkat"" + 0.017*""terbang"" + 0.014*""varian"" + 0.011*""vaksin_covid"" + 0.010*""syarat"" + 0.010*""negatif"""
18,"0.036*""orang_tua"" + 0.033*""anak_anak"" + 0.025*""anak"" + 0.013*""borobudur"" + 0.012*""tua"" + 0.011*""raja"" + 0.010*""kendara"" + 0.009*""hati"" + 0.009*""rakyat"" + 0.008*""bangsa"""
19,"0.016*""nilai"" + 0.016*""tempur"" + 0.012*""tim"" + 0.012*""pesawat"" + 0.010*""terbit"" + 0.010*""undang"" + 0.009*""bukti"" + 0.009*""gugur"" + 0.008*""jenderal"" + 0.008*""luka"""
20,"0.036*""pasang"" + 0.020*""salah_satu"" + 0.019*""hotel"" + 0.013*""celaka"" + 0.013*""laku_usaha"" + 0.012*""persen"" + 0.011*""proses"" + 0.010*""meni"" + 0.010*""cinta"" + 0.010*""hormat"""
21,"0.013*""lomba"" + 0.008*""jalur"" + 0.007*""biaya"" + 0.007*""lingkung"" + 0.006*""cantik"" + 0.006*""lokal"" + 0.006*""area"" + 0.006*""suasana"" + 0.005*""api"" + 0.005*""struktur"""
22,"0.020*""juru_bicara"" + 0.011*""kalibawang"" + 0.011*""botol"" + 0.009*""normal"" + 0.009*""tampil"" + 0.008*""akibat"" + 0.008*""situasi"" + 0.007*""rusak"" + 0.007*""nyaman"" + 0.007*""material"""
23,"0.029*""positif_covid"" + 0.020*""jawa"" + 0.016*""positif"" + 0.015*""barat"" + 0.013*""provinsi"" + 0.013*""menang"" + 0.013*""parkir"" + 0.009*""tambah"" + 0.009*""jawa_barat"" + 0.008*""kalimantan"""
24,"0.020*""kopassus"" + 0.020*""personel"" + 0.015*""damai"" + 0.013*""papua"" + 0.012*""operasi"" + 0.012*""satgas"" + 0.012*""pamer"" + 0.011*""rokok"" + 0.010*""dokter"" + 0.009*""islam"""
25,"0.021*""guru"" + 0.021*""universitas"" + 0.018*""bangsa"" + 0.013*""presiden"" + 0.011*""jenderal"" + 0.011*""pecah"" + 0.010*""ugm"" + 0.010*""suasana"" + 0.009*""luka"" + 0.008*""lurah"""
26,"0.017*""selesai"" + 0.016*""layan"" + 0.014*""terap_protokol"" + 0.012*""dprd"" + 0.010*""obat"" + 0.009*""operasi"" + 0.009*""anggar"" + 0.009*""capai_persen"" + 0.008*""lonjak"" + 0.007*""kabupaten_bantul"""
27,"0.030*""korban"" + 0.024*""gor_cangkring"" + 0.023*""sangka"" + 0.018*""kabupaten_kulonprogo"" + 0.016*""curi"" + 0.014*""adil"" + 0.014*""korupsi"" + 0.013*""jaksa"" + 0.013*""tim"" + 0.011*""tetap"""
28,"0.014*""rsud"" + 0.013*""wates"" + 0.013*""korban"" + 0.012*""kandung"" + 0.011*""obat"" + 0.008*""bunuh"" + 0.008*""celaka"" + 0.008*""lokasi_jadi"" + 0.008*""mahasiswa"" + 0.008*""arah_barat"""
29,"0.026*""anggar"" + 0.026*""dapat"" + 0.023*""miliar"" + 0.015*""rudal"" + 0.014*""seni"" + 0.013*""dprd"" + 0.012*""pakat"" + 0.011*""daerah"" + 0.011*""belanja"" + 0.010*""pad"""
30,"0.029*""bantul"" + 0.025*""jalan_isolasi"" + 0.022*""rumah_sakit"" + 0.018*""total"" + 0.017*""pasien"" + 0.016*""sembuh"" + 0.015*""tambah"" + 0.013*""isolasi"" + 0.012*""positif_covid"" + 0.012*""camat"""
31,"0.051*""ppkm_level"" + 0.023*""level"" + 0.022*""pohon"" + 0.021*""protokol_sehat"" + 0.020*""ppkm"" + 0.014*""desember"" + 0.014*""tanam"" + 0.013*""muhammadiyah"" + 0.012*""rumah_sakit"" + 0.011*""buka"""
